sample_id,location,stage,year,day,number
ob_1,oude_beek,early_fourth_instar,1,57,0
ob_1,oude_beek,early_fourth_instar,1,58,0
ob_1,oude_beek,early_fourth_instar,1,59,0
ob_1,oude_beek,early_fourth_instar,1,60,0
ob_1,oude_beek,early_fourth_instar,1,61,0
ob_1,oude_beek,early_fourth_instar,1,62,0
ob_1,oude_beek,early_fourth_instar,1,63,0
ob_1,oude_beek,early_fourth_instar,1,64,0
ob_1,oude_beek,early_fourth_instar,1,65,0
ob_1,oude_beek,early_fourth_instar,1,66,0
ob_1,oude_beek,early_fourth_instar,1,67,0
ob_1,oude_beek,early_fourth_instar,1,68,0
ob_1,oude_beek,early_fourth_instar,1,69,0
ob_1,oude_beek,early_fourth_instar,1,70,0
ob_1,oude_beek,early_fourth_instar,1,71,0
ob_1,oude_beek,early_fourth_instar,1,72,0
ob_1,oude_beek,early_fourth_instar,1,73,0
ob_1,oude_beek,early_fourth_instar,1,74,0
ob_1,oude_beek,early_fourth_instar,1,75,0
ob_1,oude_beek,early_fourth_instar,1,76,0
ob_1,oude_beek,early_fourth_instar,1,77,0
ob_1,oude_beek,early_fourth_instar,1,78,0
ob_1,oude_beek,early_fourth_instar,1,79,0
ob_1,oude_beek,early_fourth_instar,1,80,0
ob_1,oude_beek,early_fourth_instar,1,81,0
ob_1,oude_beek,early_fourth_instar,1,82,0
ob_1,oude_beek,early_fourth_instar,1,83,0
ob_1,oude_beek,early_fourth_instar,1,84,0
ob_1,oude_beek,early_fourth_instar,1,85,0
ob_1,oude_beek,early_fourth_instar,1,86,0
ob_1,oude_beek,early_fourth_instar,1,87,0
ob_1,oude_beek,early_fourth_instar,1,88,0
ob_1,oude_beek,early_fourth_instar,1,89,0
ob_1,oude_beek,early_fourth_instar,1,90,0
ob_1,oude_beek,early_fourth_instar,1,91,0
ob_1,oude_beek,early_fourth_instar,1,92,0
ob_1,oude_beek,early_fourth_instar,1,93,0
ob_1,oude_beek,early_fourth_instar,1,94,0
ob_1,oude_beek,early_fourth_instar,1,95,0
ob_1,oude_beek,early_fourth_instar,1,96,0
ob_1,oude_beek,early_fourth_instar,1,97,0
ob_1,oude_beek,early_fourth_instar,1,98,0
ob_1,oude_beek,early_fourth_instar,1,99,0
ob_1,oude_beek,early_fourth_instar,1,100,0
ob_1,oude_beek,early_fourth_instar,1,101,0
ob_1,oude_beek,early_fourth_instar,1,102,0
ob_1,oude_beek,early_fourth_instar,1,103,0
ob_1,oude_beek,early_fourth_instar,1,104,0
ob_1,oude_beek,early_fourth_instar,1,105,0
ob_1,oude_beek,early_fourth_instar,1,106,0
ob_1,oude_beek,early_fourth_instar,1,107,0
ob_1,oude_beek,early_fourth_instar,1,108,0
ob_1,oude_beek,early_fourth_instar,1,109,0
ob_1,oude_beek,early_fourth_instar,1,110,0
ob_1,oude_beek,early_fourth_instar,1,111,0
ob_1,oude_beek,early_fourth_instar,1,112,0
ob_1,oude_beek,early_fourth_instar,1,113,0
ob_1,oude_beek,early_fourth_instar,1,114,0
ob_1,oude_beek,early_fourth_instar,1,115,0
ob_1,oude_beek,early_fourth_instar,1,116,0
ob_1,oude_beek,early_fourth_instar,1,117,0
ob_1,oude_beek,early_fourth_instar,1,118,0
ob_1,oude_beek,early_fourth_instar,1,119,0
ob_1,oude_beek,early_fourth_instar,1,120,0
ob_1,oude_beek,early_fourth_instar,1,121,0
ob_1,oude_beek,early_fourth_instar,1,122,0
ob_1,oude_beek,early_fourth_instar,1,123,0
ob_1,oude_beek,early_fourth_instar,1,124,0
ob_1,oude_beek,early_fourth_instar,1,125,0
ob_1,oude_beek,early_fourth_instar,1,126,0
ob_1,oude_beek,early_fourth_instar,1,127,0
ob_1,oude_beek,early_fourth_instar,1,128,0
ob_1,oude_beek,early_fourth_instar,1,129,0
ob_1,oude_beek,early_fourth_instar,1,130,0
ob_1,oude_beek,early_fourth_instar,1,131,0
ob_1,oude_beek,early_fourth_instar,1,132,0
ob_1,oude_beek,early_fourth_instar,1,133,0
ob_1,oude_beek,early_fourth_instar,1,134,0
ob_1,oude_beek,early_fourth_instar,1,135,0
ob_1,oude_beek,early_fourth_instar,1,136,0
ob_1,oude_beek,early_fourth_instar,1,137,0
ob_1,oude_beek,early_fourth_instar,1,138,1
ob_1,oude_beek,early_fourth_instar,1,139,2
ob_1,oude_beek,early_fourth_instar,1,140,5
ob_1,oude_beek,early_fourth_instar,1,141,10
ob_1,oude_beek,early_fourth_instar,1,142,16
ob_1,oude_beek,early_fourth_instar,1,143,22
ob_1,oude_beek,early_fourth_instar,1,144,28
ob_1,oude_beek,early_fourth_instar,1,145,32
ob_1,oude_beek,early_fourth_instar,1,146,37
ob_1,oude_beek,early_fourth_instar,1,147,42
ob_1,oude_beek,early_fourth_instar,1,148,48
ob_1,oude_beek,early_fourth_instar,1,149,53
ob_1,oude_beek,early_fourth_instar,1,150,58
ob_1,oude_beek,early_fourth_instar,1,151,63
ob_1,oude_beek,early_fourth_instar,1,152,68
ob_1,oude_beek,early_fourth_instar,1,153,73
ob_1,oude_beek,early_fourth_instar,1,154,78
ob_1,oude_beek,early_fourth_instar,1,155,77
ob_1,oude_beek,early_fourth_instar,1,156,81
ob_1,oude_beek,early_fourth_instar,1,157,85
ob_1,oude_beek,early_fourth_instar,1,158,89
ob_1,oude_beek,early_fourth_instar,1,159,93
ob_1,oude_beek,early_fourth_instar,1,160,96
ob_1,oude_beek,early_fourth_instar,1,161,100
