feature_id,MM_1,MM_2,MM_3,MM_4,LA1330_1,LA1330_2,LA1330_3,LA1330_4,PI127826_1,PI127826_2,PI127826_3,PI127826_4,LYC4_1,LYC4_2,LYC4_3,LYC4_4,LA0716_1,LA0716_2,LA0716_3,LA0716_4,LA1028_1,LA1028_2,LA1028_3,LA1028_4,LA1777_1,LA1777_2,LA1777_3,LA1777_4,LA1840_1,LA1840_2,LA1840_3,LA1840_4
rt-0.62_mz-494.80964,0,0,0,0,0,0,0,0,472,512,366,1850,0,0,0,0,0,0,0,0,0,0,0,0,568,1694,2352,4762,0,0,0,0
rt-0.63_mz-122.92439,1524,2770,1800,3988,6780,4532,6670,4580,11810,17586,12992,21138,490,3840,640,2758,3240,1416,1580,3936,428,688,394,556,14260,21732,22320,28686,504,498,528,634
rt-0.63_mz-258.89933,4108,9338,3962,10768,18038,13840,19856,14836,16690,24784,20560,45672,1480,11536,1474,6790,8996,3320,4064,9302,1322,2074,1074,1486,23840,41380,50406,56894,2102,2070,1964,2044
rt-0.63_mz-264.93433,1310,1314,764,1054,3002,1504,2550,1680,2804,4128,4606,8064,418,1278,516,896,1010,632,890,1352,328,506,398,436,3328,6398,7398,9726,756,722,354,432
rt-0.63_mz-284.00919,6582,4356,6798,6142,9566,6612,8910,8046,1802,1858,3828,5088,1752,6638,2706,530,4238,3326,3318,5526,938,1556,1222,1630,1410,3330,3802,5516,1746,1508,1116,1394
rt-0.63_mz-387.00587,0,0,0,0,0,0,0,0,138,476,786,1110,0,0,0,0,0,0,0,0,0,0,0,0,1326,2194,4548,3774,0,0,0,0
rt-0.64_mz-104.10677,8744,5914,8192,5134,19328,20874,17946,2960,130134,127340,126844,125546,19484,51086,18868,11624,19414,29608,21910,15110,3470,17346,4326,11518,109422,113230,111100,130296,4976,5024,2478,3410
rt-0.64_mz-148.03454,6300,4978,7242,6824,12200,7738,11932,8488,5238,7238,7128,10482,1872,5368,1614,722,5292,2188,3184,6082,1112,1770,1006,1078,5206,8154,6770,10542,1434,1258,1056,1140
rt-0.64_mz-225.03441,18108,19778,4872,11940,5128,7704,6186,546,3950,5038,3314,6736,8550,5880,1844,604,10454,18966,6532,6652,4988,10512,1522,602,3296,2946,2016,492,6294,3822,980,1140
rt-0.65_mz-104.03526,15024,2548,21384,26434,29340,10104,37782,35728,15774,20104,10596,28892,9886,13040,7370,17788,1750,31066,27636,23340,1124,5778,10716,12190,15942,14866,17336,31000,7050,4732,11402,9304
rt-0.65_mz-118.05086,61978,3524,58042,55896,77946,20182,78044,32814,75202,93608,31576,110106,56250,89312,44918,75464,4422,45602,64382,56730,1998,14784,24080,22402,72636,46862,66094,39438,20474,16732,16842,21892
